Booking ID,Customer ID,Age,Gender,Destination,Travel Mode,Package Type,Booking Date,Travel Start Date,Travel End Date,Number of Travelers,Cost per Person,Total Cost,Discount,Net Amount,Booking Source,Payment Method,Feedback Score
BK_10029,CUST_4979,65,Female,Cairo,Cruise,Standard,2023-01-01,2023-02-23,2023-03-07,3,2889.76,8669.28,771.7,7897.58,Phone,PayPal,3
BK_10030,CUST_5512,29,Male,Bangkok,Cruise,Budget,2024-04-29,2024-05-10,2024-05-16,6,872.94,5237.64,533.32,4704.32,Website,PayPal,2
BK_10031,CUST_2074,40,Male,Auckland,Bus,Standard,2023-01-12,2023-02-21,2023-03-01,4,3298.25,13193.0,1369.45,11823.55,Phone,Bank Transfer,1
BK_10032,CUST_2864,67,Male,Dubai,Cruise,Standard,2022-11-03,2022-12-27,2022-12-31,4,3002.06,12008.24,954.4,11053.84,App,PayPal,2
BK_10033,CUST_3147,33,Male,Cairo,Train,Standard,2024-04-10,2024-05-16,2024-05-30,1,4530.44,4530.44,573.62,3956.82,App,Bank Transfer,1
BK_10034,CUST_1369,28,Female,Paris,Bus,Luxury,2025-05-28,2025-07-17,2025-07-29,6,3623.62,21741.72,2627.16,19114.56,Website,Bank Transfer,5
BK_10035,CUST_2599,64,Female,Paris,Flight,Luxury,2024-04-14,2024-06-12,2024-06-25,4,3100.98,12403.92,2311.51,10092.41,In-Office,Credit Card,2
BK_10036,CUST_4981,26,Male,Bangkok,Cruise,Standard,2024-11-16,2024-12-22,2024-12-27,3,2906.9,8720.7,566.24,8154.46,In-Office,Bank Transfer,3
BK_10037,CUST_1820,68,Male,Cairo,Flight,Premium,2023-08-08,2023-08-22,2023-08-26,3,1665.43,4996.29,672.36,4323.93,App,Debit Card,5
BK_10038,CUST_5346,41,Female,Auckland,Bus,Premium,2024-11-26,2025-01-02,2025-01-16,6,3759.65,22557.9,77.82,22480.08,In-Office,PayPal,5
BK_10039,CUST_2960,51,Female,New York,Bus,Budget,2023-02-28,2023-03-23,2023-03-31,1,724.1,724.1,89.47,634.63,App,Bank Transfer,2
BK_10040,CUST_2843,42,Female,Auckland,Bus,Budget,2022-07-27,2022-08-22,2022-08-31,3,1282.34,3847.02,18.68,3828.34,Website,Credit Card,1
BK_10041,CUST_3409,26,Male,New York,Cruise,Premium,2023-07-11,2023-09-03,2023-09-06,2,1927.27,3854.54,722.86,3131.68,In-Office,Credit Card,3
BK_10042,CUST_4333,31,Female,Sydney,Bus,Luxury,2022-12-17,2023-01-06,2023-01-18,3,1971.33,5913.99,966.03,4947.96,App,Debit Card,1
BK_10043,CUST_2551,61,Male,Dubai,Train,Budget,2025-05-31,2025-07-17,2025-07-30,3,4695.75,14087.25,514.08,13573.17,Website,Debit Card,5
BK_10044,CUST_2470,57,Female,New York,Bus,Budget,2025-05-26,2025-06-27,2025-07-09,6,2010.19,12061.14,2371.9,9689.24,In-Office,Bank Transfer,5
BK_10045,CUST_5736,40,Male,Tokyo,Flight,Luxury,2024-12-26,2025-02-22,2025-02-27,5,1655.13,8275.65,503.21,7772.44,App,Credit Card,3
BK_10046,CUST_5991,56,Female,New York,Train,Standard,2024-07-08,2024-08-28,2024-09-08,5,1150.57,5752.85,709.65,5043.2,In-Office,Credit Card,1
BK_10047,CUST_4806,74,Male,Rome,Flight,Premium,2023-01-18,2023-02-04,2023-02-17,6,1237.1,7422.6,774.54,6648.06,Phone,Credit Card,2
BK_10048,CUST_5195,39,Male,Auckland,Flight,Standard,2024-11-24,2024-12-11,2024-12-20,1,4780.25,4780.25,36.05,4744.2,In-Office,PayPal,2
BK_10049,CUST_2748,35,Male,Sydney,Flight,Standard,2024-02-27,2024-03-28,2024-04-07,4,2360.07,9440.28,702.98,8737.3,Phone,Bank Transfer,4
BK_10050,CUST_1955,22,Female,Paris,Cruise,Standard,2022-07-29,2022-09-23,2022-09-30,2,4739.75,9479.5,578.3,8901.2,In-Office,Debit Card,2
BK_10051,CUST_5897,38,Female,Auckland,Bus,Premium,2023-02-21,2023-03-07,2023-03-21,1,3572.6,3572.6,438.21,3134.39,Website,Credit Card,5
BK_10052,CUST_1394,23,Male,Sydney,Train,Premium,2023-12-12,2024-01-05,2024-01-11,1,4996.52,4996.52,177.11,4819.41,App,PayPal,4
BK_10053,CUST_4258,21,Male,Cairo,Bus,Standard,2022-10-18,2022-11-14,2022-11-21,5,4125.99,20629.95,581.96,20047.99,Website,Credit Card,5
BK_10054,CUST_5480,72,Male,Dubai,Bus,Luxury,2024-08-03,2024-09-09,2024-09-21,6,4224.11,25344.66,837.75,24506.91,In-Office,Debit Card,4
BK_10055,CUST_4200,46,Male,Dubai,Train,Standard,2023-12-26,2024-01-06,2024-01-17,6,1747.96,10487.76,1167.52,9320.24,Phone,Bank Transfer,5
BK_10056,CUST_3979,75,Male,Cairo,Flight,Luxury,2022-07-11,2022-08-12,2022-08-20,2,4239.11,8478.22,829.99,7648.23,App,Credit Card,4
BK_10057,CUST_2898,53,Female,Auckland,Bus,Luxury,2023-08-16,2023-09-30,2023-10-11,3,1752.17,5256.51,89.08,5167.43,Phone,Credit Card,2
BK_10058,CUST_3656,75,Male,Sydney,Flight,Standard,2023-11-05,2023-11-24,2023-11-28,4,1337.91,5351.64,118.52,5233.12,Phone,Bank Transfer,3
BK_10059,CUST_1854,72,Female,Tokyo,Bus,Budget,2024-07-25,2024-08-20,2024-08-25,3,4678.17,14034.51,378.17,13656.34,Website,Debit Card,2
BK_10060,CUST_4233,69,Female,Rome,Train,Luxury,2024-10-11,2024-10-26,2024-11-07,3,4063.89,12191.67,1121.68,11069.99,In-Office,PayPal,4
BK_10061,CUST_5328,54,Female,Sydney,Flight,Standard,2024-08-18,2024-10-12,2024-10-18,3,3149.79,9449.37,840.36,8609.01,In-Office,Debit Card,2
BK_10062,CUST_1237,24,Female,Tokyo,Flight,Luxury,2024-01-04,2024-01-18,2024-01-27,3,1974.38,5923.14,42.65,5880.49,App,PayPal,2
BK_10063,CUST_5292,25,Female,Dubai,Flight,Budget,2024-08-26,2024-09-26,2024-10-09,4,1261.46,5045.84,900.82,4145.02,App,PayPal,5
BK_10064,CUST_2800,53,Male,Rome,Cruise,Premium,2024-09-20,2024-10-07,2024-10-20,5,3834.92,19174.6,2283.33,16891.27,App,Credit Card,4
BK_10065,CUST_1830,53,Male,Bangkok,Flight,Standard,2024-03-31,2024-05-28,2024-06-12,1,2098.89,2098.89,210.01,1888.88,App,Bank Transfer,3
BK_10066,CUST_3032,36,Female,Sydney,Bus,Standard,2023-07-07,2023-07-28,2023-07-31,4,3757.47,15029.88,1122.56,13907.32,Website,Credit Card,1
BK_10067,CUST_5250,25,Female,Cairo,Cruise,Luxury,2024-06-01,2024-06-23,2024-07-02,6,3292.4,19754.4,1631.6,18122.8,In-Office,Credit Card,2
BK_10068,CUST_1741,54,Male,Paris,Bus,Budget,2023-04-20,2023-05-15,2023-05-24,5,3600.44,18002.2,5.24,17996.96,Website,Bank Transfer,2
BK_10069,CUST_5844,67,Male,Paris,Flight,Premium,2023-03-24,2023-05-01,2023-05-16,5,1372.18,6860.9,902.43,5958.47,App,Bank Transfer,4
BK_10070,CUST_2342,30,Male,Rome,Cruise,Standard,2024-02-09,2024-03-16,2024-03-25,6,3337.67,20026.02,3098.21,16927.81,In-Office,Credit Card,5
BK_10071,CUST_4936,28,Female,New York,Flight,Premium,2024-03-10,2024-04-24,2024-04-30,4,2903.45,11613.8,144.74,11469.06,Website,Credit Card,5
BK_10072,CUST_2143,56,Female,Tokyo,Flight,Budget,2025-05-01,2025-06-21,2025-06-29,6,4487.61,26925.66,4819.78,22105.88,In-Office,Debit Card,2
BK_10073,CUST_5577,61,Female,Paris,Flight,Standard,2024-10-19,2024-11-12,2024-11-17,1,4174.5,4174.5,537.46,3637.04,In-Office,PayPal,5
BK_10074,CUST_4976,19,Male,New York,Cruise,Standard,2022-09-28,2022-11-24,2022-11-30,4,2411.68,9646.72,1548.89,8097.83,In-Office,PayPal,2
BK_10075,CUST_3483,22,Female,New York,Train,Standard,2024-09-30,2024-10-20,2024-10-26,3,4709.6,14128.8,361.71,13767.09,In-Office,Debit Card,2
BK_10076,CUST_4742,23,Male,Paris,Bus,Standard,2023-09-25,2023-10-29,2023-11-02,3,2081.87,6245.61,548.76,5696.85,Website,Bank Transfer,2
BK_10077,CUST_4483,28,Female,Auckland,Flight,Premium,2023-02-04,2023-02-17,2023-02-23,2,855.84,1711.68,252.78,1458.9,App,Debit Card,1
BK_10078,CUST_4927,59,Female,Dubai,Train,Standard,2024-06-20,2024-07-30,2024-08-12,1,1048.12,1048.12,19.81,1028.31,In-Office,Bank Transfer,2
BK_10079,CUST_5580,29,Male,Auckland,Train,Luxury,2023-06-30,2023-07-13,2023-07-21,4,680.03,2720.12,404.88,2315.24,In-Office,Credit Card,5
BK_10080,CUST_2084,30,Male,Bangkok,Flight,Luxury,2023-05-17,2023-06-14,2023-06-17,1,4474.24,4474.24,139.48,4334.76,App,PayPal,2
BK_10081,CUST_5417,56,Male,Dubai,Bus,Standard,2024-01-03,2024-02-10,2024-02-13,6,646.79,3880.74,117.9,3762.84,Website,Credit Card,2
BK_10082,CUST_3105,65,Male,Cairo,Flight,Premium,2024-11-18,2024-12-30,2025-01-09,4,3135.62,12542.48,1986.95,10555.53,Phone,Bank Transfer,5
BK_10083,CUST_5100,63,Male,Sydney,Train,Luxury,2024-11-18,2025-01-03,2025-01-10,6,3508.77,21052.62,1517.75,19534.87,Phone,PayPal,4
BK_10084,CUST_2218,33,Male,Sydney,Train,Premium,2023-07-02,2023-07-16,2023-07-19,1,1939.01,1939.01,365.48,1573.53,Website,PayPal,1
BK_10085,CUST_1322,50,Female,Cairo,Bus,Standard,2024-09-06,2024-11-05,2024-11-10,4,3503.19,14012.76,1814.16,12198.6,Phone,PayPal,2
BK_10086,CUST_5005,62,Male,Cairo,Bus,Budget,2023-08-20,2023-09-16,2023-09-24,2,3657.61,7315.22,1129.56,6185.66,Website,Bank Transfer,3
BK_10087,CUST_5370,21,Female,Rome,Flight,Budget,2023-04-02,2023-05-21,2023-05-28,6,2336.56,14019.36,2545.4,11473.96,Website,Bank Transfer,1
BK_10088,CUST_4429,66,Male,Sydney,Cruise,Premium,2024-04-30,2024-05-20,2024-05-23,1,2879.64,2879.64,503.61,2376.03,Phone,Bank Transfer,1
BK_10089,CUST_1018,34,Female,Dubai,Train,Luxury,2025-02-21,2025-04-19,2025-05-02,1,2319.07,2319.07,419.42,1899.65,In-Office,Bank Transfer,4
BK_10090,CUST_3196,25,Female,Sydney,Train,Luxury,2024-04-24,2024-06-14,2024-06-19,4,4942.28,19769.12,2429.76,17339.36,Website,PayPal,4
BK_10091,CUST_4238,71,Female,Sydney,Bus,Standard,2023-05-30,2023-07-11,2023-07-14,3,1408.6,4225.8,316.55,3909.25,Website,PayPal,5
BK_10092,CUST_3881,61,Male,Bangkok,Flight,Budget,2022-08-31,2022-10-01,2022-10-07,1,1365.94,1365.94,268.41,1097.53,Website,Debit Card,4
BK_10093,CUST_2793,47,Female,Sydney,Flight,Standard,2024-04-05,2024-05-01,2024-05-10,2,1972.58,3945.16,724.57,3220.59,Phone,Debit Card,3
BK_10094,CUST_1982,40,Male,Auckland,Flight,Standard,2025-02-11,2025-04-08,2025-04-22,6,673.17,4039.02,738.72,3300.3,Phone,PayPal,5
BK_10095,CUST_1878,74,Female,Sydney,Flight,Premium,2023-12-30,2024-01-14,2024-01-19,1,937.79,937.79,169.3,768.49,App,PayPal,1
BK_10096,CUST_1519,69,Female,Cairo,Cruise,Luxury,2023-11-23,2024-01-01,2024-01-07,6,3851.02,23106.12,3834.3,19271.82,Phone,Bank Transfer,5
BK_10097,CUST_3356,26,Female,Auckland,Bus,Standard,2023-11-21,2024-01-08,2024-01-20,5,1785.3,8926.5,240.82,8685.68,Phone,Debit Card,4
BK_10098,CUST_3159,57,Female,Cairo,Train,Budget,2023-05-09,2023-05-22,2023-06-02,5,4352.21,21761.05,1635.01,20126.04,Website,Bank Transfer,4
BK_10099,CUST_4086,34,Female,Sydney,Bus,Luxury,2022-11-08,2022-11-20,2022-11-24,6,1444.62,8667.72,1230.81,7436.91,Website,Bank Transfer,2
BK_10100,CUST_3767,55,Female,Paris,Flight,Luxury,2024-08-14,2024-09-07,2024-09-16,1,4925.2,4925.2,449.34,4475.86,App,PayPal,4
BK_10101,CUST_4430,26,Female,Tokyo,Cruise,Premium,2022-12-13,2022-12-26,2023-01-06,1,3699.12,3699.12,406.03,3293.09,Website,PayPal,3
BK_10102,CUST_4721,47,Male,Cairo,Cruise,Budget,2023-04-11,2023-05-22,2023-05-25,6,4642.3,27853.8,643.76,27210.04,Phone,PayPal,1
BK_10103,CUST_3347,70,Male,New York,Train,Premium,2023-05-25,2023-06-07,2023-06-19,5,2413.0,12065.0,1038.09,11026.91,Phone,Credit Card,4
BK_10104,CUST_3022,45,Female,Rome,Bus,Luxury,2024-09-12,2024-10-15,2024-10-27,6,3095.61,18573.66,1601.81,16971.85,Website,PayPal,3
BK_10105,CUST_5976,44,Male,Sydney,Cruise,Standard,2024-01-09,2024-03-05,2024-03-15,6,1691.21,10147.26,500.9,9646.36,Phone,Bank Transfer,5
BK_10106,CUST_3282,51,Female,Sydney,Flight,Luxury,2022-09-28,2022-11-15,2022-11-18,5,2023.68,10118.4,1133.07,8985.33,Phone,Credit Card,1
BK_10107,CUST_5167,27,Male,Cairo,Cruise,Premium,2022-07-29,2022-09-05,2022-09-09,1,4680.15,4680.15,286.37,4393.78,App,Credit Card,3
BK_10108,CUST_4616,35,Male,Paris,Flight,Standard,2022-08-03,2022-09-06,2022-09-10,1,4472.13,4472.13,377.54,4094.59,In-Office,PayPal,4
BK_10109,CUST_4126,33,Male,Dubai,Cruise,Luxury,2022-12-18,2023-01-05,2023-01-15,3,1856.98,5570.94,867.08,4703.86,In-Office,Bank Transfer,1
BK_10110,CUST_4499,69,Male,Paris,Flight,Standard,2024-06-04,2024-07-16,2024-07-30,5,2332.18,11660.9,1482.06,10178.84,Website,Debit Card,2
BK_10111,CUST_1009,54,Female,Bangkok,Train,Budget,2025-05-24,2025-06-03,2025-06-18,5,1471.38,7356.9,91.39,7265.51,Phone,Debit Card,1
BK_10112,CUST_5956,72,Male,Dubai,Cruise,Budget,2025-03-22,2025-05-19,2025-05-27,4,3829.51,15318.04,1519.25,13798.79,Phone,PayPal,4
BK_10113,CUST_3568,28,Male,Auckland,Bus,Premium,2024-08-16,2024-10-05,2024-10-18,4,769.65,3078.6,37.26,3041.34,App,Credit Card,2
BK_10114,CUST_4677,71,Female,Paris,Bus,Standard,2024-01-11,2024-02-18,2024-02-29,4,1510.67,6042.68,808.75,5233.93,App,PayPal,1
BK_10115,CUST_5451,50,Female,Tokyo,Bus,Budget,2024-07-29,2024-09-13,2024-09-20,6,3371.6,20229.6,437.13,19792.47,Phone,Bank Transfer,5
BK_10116,CUST_2435,72,Male,Sydney,Cruise,Luxury,2023-12-03,2023-12-13,2023-12-26,6,2269.92,13619.52,1914.91,11704.61,App,PayPal,2
BK_10117,CUST_5322,23,Female,Sydney,Bus,Premium,2022-11-17,2022-12-29,2023-01-03,3,519.84,1559.52,0.38,1559.14,Phone,Bank Transfer,5
BK_10118,CUST_5690,48,Male,Sydney,Cruise,Standard,2023-09-18,2023-11-02,2023-11-05,2,4505.13,9010.26,1267.53,7742.73,Website,Debit Card,2
BK_10119,CUST_3956,32,Female,Sydney,Cruise,Premium,2023-04-20,2023-06-12,2023-06-20,5,3685.7,18428.5,232.71,18195.79,Phone,Credit Card,4
BK_10120,CUST_1920,25,Male,Dubai,Train,Standard,2023-11-30,2023-12-23,2024-01-06,2,1900.58,3801.16,32.47,3768.69,Phone,Bank Transfer,1
BK_10121,CUST_4245,62,Male,Bangkok,Train,Budget,2022-12-29,2023-02-25,2023-03-02,3,4167.16,12501.48,1660.95,10840.53,In-Office,Bank Transfer,2
BK_10122,CUST_2129,39,Male,Rome,Cruise,Premium,2023-04-30,2023-06-21,2023-06-26,5,4976.47,24882.35,2423.7,22458.65,Website,PayPal,3
BK_10123,CUST_2431,57,Male,Dubai,Flight,Premium,2024-10-28,2024-11-27,2024-12-07,3,710.95,2132.85,101.65,2031.2,In-Office,PayPal,4
BK_10124,CUST_4440,35,Male,Dubai,Bus,Budget,2022-08-27,2022-09-27,2022-10-06,3,2479.74,7439.22,640.16,6799.06,In-Office,Debit Card,3
BK_10125,CUST_5784,62,Male,Sydney,Flight,Premium,2024-08-07,2024-08-24,2024-08-28,5,968.57,4842.85,307.0,4535.85,Phone,Bank Transfer,4
BK_10126,CUST_3393,18,Female,Cairo,Train,Premium,2024-01-27,2024-03-24,2024-04-07,4,3866.71,15466.84,1004.52,14462.32,Phone,Credit Card,1
BK_10127,CUST_5915,57,Male,Sydney,Bus,Premium,2025-03-11,2025-05-04,2025-05-16,6,1469.24,8815.44,965.79,7849.65,App,Credit Card,1
BK_10128,CUST_5778,74,Female,Sydney,Cruise,Luxury,2023-04-18,2023-06-16,2023-06-25,5,4069.1,20345.5,1384.82,18960.68,In-Office,Debit Card,2
BK_10129,CUST_4536,36,Female,New York,Train,Standard,2023-11-21,2024-01-20,2024-01-29,2,676.63,1353.26,46.42,1306.84,Website,PayPal,1
BK_10130,CUST_2373,27,Female,Sydney,Bus,Luxury,2023-10-30,2023-12-29,2024-01-06,6,4681.6,28089.6,4561.85,23527.75,Phone,Bank Transfer,3
BK_10131,CUST_4912,52,Male,Cairo,Cruise,Luxury,2024-12-03,2025-01-14,2025-01-29,5,4211.72,21058.6,2240.48,18818.12,App,Debit Card,5
BK_10132,CUST_5730,44,Female,Auckland,Flight,Standard,2024-04-13,2024-05-17,2024-05-27,2,3065.53,6131.06,499.21,5631.85,Phone,Credit Card,1
BK_10133,CUST_2570,55,Female,Sydney,Bus,Luxury,2024-06-06,2024-07-28,2024-08-11,3,3210.33,9630.99,836.92,8794.07,Website,PayPal,1
BK_10134,CUST_2162,33,Female,Paris,Train,Premium,2025-05-27,2025-07-24,2025-08-07,6,3772.76,22636.56,1738.73,20897.83,Website,Credit Card,4
BK_10135,CUST_1529,33,Female,Dubai,Train,Luxury,2024-01-24,2024-03-01,2024-03-12,2,3515.31,7030.62,114.55,6916.07,Website,PayPal,1
BK_10136,CUST_5350,54,Female,Paris,Cruise,Standard,2025-05-06,2025-06-06,2025-06-21,6,3931.61,23589.66,4275.04,19314.62,Phone,Bank Transfer,4
BK_10137,CUST_1628,71,Male,Rome,Train,Premium,2025-05-14,2025-06-22,2025-06-26,5,4301.21,21506.05,1941.22,19564.83,In-Office,PayPal,5
BK_10138,CUST_3867,71,Male,Bangkok,Bus,Luxury,2023-07-18,2023-08-21,2023-08-27,3,2162.55,6487.65,589.16,5898.49,Phone,Debit Card,2
BK_10139,CUST_2344,69,Female,Rome,Cruise,Budget,2024-07-31,2024-08-18,2024-08-27,5,1259.88,6299.4,563.91,5735.49,In-Office,PayPal,4
BK_10140,CUST_5586,73,Female,Paris,Bus,Premium,2024-08-21,2024-10-09,2024-10-23,2,2682.78,5365.56,924.88,4440.68,Website,Debit Card,3
BK_10141,CUST_1509,62,Male,Tokyo,Cruise,Luxury,2024-12-12,2025-01-01,2025-01-08,3,4628.96,13886.88,2515.35,11371.53,Phone,Debit Card,4
BK_10142,CUST_5232,66,Male,Dubai,Train,Premium,2023-01-22,2023-03-20,2023-03-30,5,708.43,3542.15,193.78,3348.37,Website,Bank Transfer,4
BK_10143,CUST_2795,50,Female,Rome,Cruise,Standard,2025-02-19,2025-04-01,2025-04-10,1,4973.91,4973.91,759.31,4214.6,Website,PayPal,2
BK_10144,CUST_3755,27,Female,Sydney,Cruise,Luxury,2024-01-16,2024-03-16,2024-03-26,3,4066.3,12198.9,1990.37,10208.53,App,PayPal,4
BK_10145,CUST_1287,72,Male,Bangkok,Train,Standard,2023-08-03,2023-08-14,2023-08-18,5,2950.66,14753.3,1156.17,13597.13,Website,PayPal,3
BK_10146,CUST_2058,64,Female,Paris,Train,Luxury,2025-03-02,2025-04-21,2025-05-04,4,2608.17,10432.68,1585.92,8846.76,App,PayPal,5
BK_10147,CUST_2817,66,Male,New York,Train,Budget,2022-12-22,2023-01-29,2023-02-03,1,3038.48,3038.48,66.3,2972.18,Phone,Bank Transfer,5
BK_10148,CUST_5519,66,Male,Tokyo,Cruise,Budget,2023-03-16,2023-04-18,2023-05-01,5,2557.58,12787.9,441.52,12346.38,In-Office,Debit Card,2
BK_10149,CUST_1356,51,Male,Rome,Flight,Premium,2023-08-30,2023-10-23,2023-10-29,5,912.33,4561.65,274.55,4287.1,Phone,Bank Transfer,5
BK_10150,CUST_5289,61,Female,Rome,Flight,Premium,2022-09-14,2022-10-06,2022-10-18,3,3967.31,11901.93,1653.84,10248.09,App,Bank Transfer,5
BK_10151,CUST_5080,48,Female,New York,Cruise,Standard,2022-08-15,2022-10-02,2022-10-09,3,3926.75,11780.25,79.15,11701.1,Website,Debit Card,4
BK_10152,CUST_4801,69,Male,Cairo,Cruise,Budget,2024-12-12,2025-01-30,2025-02-02,5,3415.43,17077.15,1635.71,15441.44,Website,Bank Transfer,3
BK_10153,CUST_4989,42,Female,Sydney,Train,Standard,2024-12-28,2025-02-03,2025-02-18,5,4537.68,22688.4,2357.69,20330.71,Website,Credit Card,2
BK_10154,CUST_1285,18,Female,Sydney,Flight,Standard,2022-11-24,2022-12-09,2022-12-22,6,2550.18,15301.08,300.45,15000.63,In-Office,Bank Transfer,3
BK_10155,CUST_5366,61,Male,Auckland,Bus,Standard,2022-06-22,2022-08-11,2022-08-19,4,4084.64,16338.56,125.54,16213.02,App,Credit Card,5
BK_10156,CUST_1349,24,Female,Paris,Cruise,Luxury,2024-03-11,2024-04-13,2024-04-20,4,3305.48,13221.92,1384.99,11836.93,In-Office,Debit Card,2
BK_10157,CUST_3358,50,Male,Sydney,Cruise,Budget,2024-01-22,2024-03-15,2024-03-24,4,3128.83,12515.32,1658.84,10856.48,Website,PayPal,4
BK_10158,CUST_2095,65,Male,New York,Cruise,Premium,2024-02-25,2024-03-07,2024-03-18,1,4769.25,4769.25,567.6,4201.65,App,PayPal,3
BK_10159,CUST_5271,56,Female,Bangkok,Bus,Budget,2024-02-21,2024-04-17,2024-04-21,4,1544.64,6178.56,294.18,5884.38,Website,Debit Card,4
BK_10160,CUST_3603,75,Male,Sydney,Flight,Standard,2024-10-17,2024-11-03,2024-11-10,3,4711.16,14133.48,1417.29,12716.19,App,PayPal,4
